SKU,Name,"In stock?","Regular price"
UA70TU7000UXLY,"TV SAMSUNG 70"" UHD 4K FLAT - 70TU7000",1,1698000
UA75CU7000KXXA,"TV SAMSUNG 75"" UHD 4K FLAT SMART TV - CU7000 (2023) SA",1,1799000
UA75CU8000KXXA,"TV SAMSUNG 75"" CRYSTAL UHD 4K FLAT SMART TV CU8000 (2023) SA",1,2449000
UA85CU8000KXXA,"TV SAMSUNG 85"" CRYSTAL UHD 4K FLAT SMART TV CU8000 (2023) SA",1,3349000
VG-FBB3BA/ZN,"BASE C/BATERIA 32.000 mAh 3.6V P/PROJECTOR SAMSUNG FREESTYLE",1,188000
DW60M5050FS,"MAQUINA LAVAR LOIÇA SAMSUNG 13 CONJ CINZA                  ",1,
WD12T504DBN/NQ,"MAQUINA DE LAVAR/SECAR ROUPA SAMSUNG (12KG - INOX)",1,
WD21T6300GV/NQ,"MAQUINA DE LAVAR/SECAR ROUPA SAMSUNG (21KG - PRETA)",1,
WW70T4020CX/NQ,"MAQ DE LAVAR ROUPA FL SAMSUNG (7KG - Inox)",1,
WW80T4020CX/NQ,"MAQUINA DE LAVAR ROUPA FL SAMSUNG (8KG - CINZENTA)",1,
WW80T554DAN/NQ,"MAQ DE LAVAR ROUPA FL SAMSUNG AI CONTROL+ADDWASH (8KG - Inox",1,
WW90T554DAN/NQ,"MAQ DE LAVAR ROUPA FL SAMSUNG AI CONTROL+ADDWASH (9KG-Inox)",1,
SM-A055FZKDAFA,"Galaxy A05 DS 4+ 64GB PRETO            ",1,"199000,00"
SM-A155FZKDAFA,"Galaxy A15 LTE DS 4+128GB PRETO",1,259000
SM-A346EZKAAFA,"Galaxy A34 5G DS 6+128GB PRETO",1,
SM-A356EZKMAFA,"Galaxy A35 5G DS 6+128GB PRETO",1,539000
SM-A556EZKVAFA,"Galaxy A55 5G DS 8+128GB PRETO",1,698000
SM-F946BZKGAFA,"Galaxy Z Fold 5 5G DS 12+512GB",1,
SM-S911BZEBAFA,"Galaxy S23 DS 8+128GB BEGE",1,
SM-S916BZKBAFA,"Galaxy S23+ DS 8+256GB PRETO",1,
SM-S918BZKCAFA,"Galaxy S23 Ultra 5G DS 12+256GB PRETO",1,
SM-S928BZKCAFA,"Galaxy S24 Ultra 5G DS 12+256GB PRETO",1,
SM-X916BZAAAFA,"Tablet GALAXY S9 ULTRA 5G CINZA        ",1,1989000
MG23K3515AK/EF,"MICROONDAS SAMSUNG GRILL 23L - PRETO",1,
MG28F303TFK/EF,"MICROONDAS SAMSUNG GRILL 28L - PRETO",1,
MG402MADXBB,"MICROONDAS SAMSUNG ESPELHADO 40L C/GRILL",1,
MS23K3513AW/SG,"MICROONDAS SAMSUNG SOLO 23L - BRANCO",1,
MS23K3515AK,"MICROONDAS SAMSUNG SOLO 23L - PRETO",1,
MS28F303TFS/EF,"MICROONDAS SAMSUNG SOLO 28L - CINZA    ",1,
VC18M2120SB/SG,"ASPIRADOR SAMSUNG 1.5L C/ SACO - Azul - 1.800W",1,
VCC4570S4K/ATC,"ASPIRADOR SAMSUNG 1.3L C/ SACO - PRETO 2.000 W",1,
VS20T7532T1/EU,"Aspirador Vertical Samsung Jet 75 PET 550 W",1,
VS60K6050KW/ET,"ASPIRADOR SAMSUNG VERTICAL 0,25 L 170 W",1,
HW-C450/XA,"SOUNDBAR SAMSUNG 2.1CH C/SUBWOOFER DTS 2023",1,229000
